W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,50,2000,0.8531,0.7675,0,1,0,1,0,1,0.9590,0.8808,0.6703,0.5698,0,1,1.000,0.8712,0.8772,0.8001,0.8103,0.6785,0.6270,0.5640,0,1,1.000,0.6867,0.8962,0.8195,0.7045,0.6103,0.4433,0.4295,0,1,0.6515,0.5633,1.000,0.7189,0.5134,0.4691,0.9994,0.8140,0,1,0,1,0,1,0.9998,0.7451
4,5,1000,0.7079,0.5948,0,1,0,1,0,1,0.9999,-0.287,0.7724,0.3892,0,1,0.9997,0.5779,1.000,0.2667,0.9999,-0.081,0.6902,0.6175,0,1,0.9030,0.5883,0.9263,0.4142,0.9987,0.0912,0,1,0,1,1.000,0.5648,1.000,0.6470,0.0435,0.0435,0.9383,0.6126,0,1,0,1,0,1,0.8198,0.6022
4,5,1500,0.7478,0.6183,0,1,0,1,0,1,0.9998,-0.171,0.9002,0.195,0,1,0.9279,0.4658,1.000,0.4717,0.9998,-0.262,0.7985,0.6587,0,1,1.000,0.6463,0.9570,0.3329,0.9999,0.4625,0,1,0,1,1.000,0.6084,0.9999,0.6862,0.0435,0.0435,0.9999,0.6435,0,1,0,1,0,1,0.816,0.6045
4,5,2000,0.728,0.6000,0,1,0,1,0,1,1.000,-0.070,0.9564,0.1729,0,1,0.8267,0.4471,1.000,0.56,1.000,-0.228,0.7891,0.6381,0,1,1.000,0.5671,0.9772,0.4254,1.000,0.4629,0,1,0,1,1.000,0.5833,0.9998,0.6186,0.0417,0.0417,1.000,0.6490,0,1,0,1,0,1,0.8450,0.6232
4,6,1000,0.7769,0.6679,0,1,0,1,0,1,0.9997,0.5304,0.9999,0.9412,0,1,1.000,0.6025,1.000,0.4388,0.9999,0.5711,0.6418,0.6309,0,1,1.000,0.5787,0.7610,0.4582,0.7269,-0.004,0,1,0,1,1.000,0.7869,1.000,0.7040,0.2260,0.1293,0.6920,0.485,0,1,0,1,0,1,0.9999,0.6617
4,6,1500,0.7282,0.6477,0,1,0,1,0,1,1.000,0.5970,1.00,0.8661,0,1,1.000,0.5663,0.9999,0.5639,1.000,0.5893,0.6171,0.5247,0,1,0.9288,0.5719,0.7852,0.4145,0.7169,-0.008,0,1,0,1,0.9657,0.6467,0.9006,0.6503,0.2262,0.1354,0.739,0.4942,0,1,0,1,0,1,1.000,0.6599
4,6,2000,0.7282,0.641,0,1,0,1,0,1,1.000,0.6156,1.000,0.9113,0,1,1.000,0.6314,1.000,0.4926,0.9996,0.5768,0.6061,0.5093,0,1,0.9742,0.5998,0.7439,0.4305,0.7078,-0.032,0,1,0,1,0.9495,0.66,0.9042,0.6625,0.2240,0.1397,0.7866,0.5038,0,1,0,1,0,1,1.000,0.6578
4,7,1000,0.8564,0.7209,0,1,0,1,0,1,0.9999,0.6602,0.4194,0.1134,0,1,0.9999,0.7005,1.000,0.4740,0.6925,-1.045,0.2139,0.1781,0,1,1.000,0.6659,0.8702,0.5428,0.5548,0.1286,0,1,0,1,0.9074,0.6393,1.000,0.6803,0.2481,-0.032,0.7705,0.5354,0,1,0,1,0,1,0.9325,0.6344
4,7,1500,0.7946,0.6306,0,1,0,1,0,1,1.000,0.6479,0.5123,0.1776,0,1,0.9999,0.6929,1.000,0.2964,0.5257,-0.542,0.1746,0.13,0,1,1.000,0.7178,0.7967,0.4956,0.4186,0.1015,0,1,0,1,0.8108,0.5522,0.9310,0.6602,0.2525,-0.048,0.6786,0.4112,0,1,0,1,0,1,0.9786,0.6432
4,7,2000,0.8049,0.6117,0,1,0,1,0,1,0.9999,0.6680,0.4069,0.1391,0,1,0.9999,0.6176,1.00,0.4601,0.4387,-0.419,0.1944,0.1414,0,1,1.000,0.7222,0.8153,0.5238,0.4576,0.1074,0,1,0,1,0.8142,0.5281,0.8584,0.6369,0.2076,-0.055,0.7055,0.4038,0,1,0,1,0,1,0.9888,0.6498
4,8,1000,0.815,0.7601,0,1,0,1,0,1,0.8554,0.6373,0.2015,0.1031,0,1,1.000,0.7587,0.9821,0.2751,0.4171,-0.185,0.7026,0.6268,0,1,1.000,0.626,0.9862,0.4588,0.9997,-0.162,0,1,0,1,1.000,0.5111,1.000,0.7663,0.1754,-0.167,0.7086,0.6489,0,1,0,1,0,1,0.9683,0.7602
4,8,1500,0.7699,0.7152,0,1,0,1,0,1,0.9228,0.6446,0.1944,0.0294,0,1,0.8708,0.6183,0.9999,0.5296,0.4792,-0.051,0.8052,0.5911,0,1,1.000,0.6295,1.000,0.5971,0.9993,-0.115,0,1,0,1,0.9231,0.5582,1.000,0.775,0.2024,-0.182,0.7177,0.6274,0,1,0,1,0,1,1.000,0.7592
4,8,2000,0.7521,0.6961,0,1,0,1,0,1,0.9075,0.6129,0.2023,0.0091,0,1,0.7776,0.5560,1.000,0.5224,0.4592,-0.064,0.8736,0.6176,0,1,1.000,0.6070,1.000,0.5475,0.9983,-0.180,0,1,0,1,0.8721,0.4797,0.9999,0.7385,0.1953,-0.217,0.7344,0.6234,0,1,0,1,0,1,0.9998,0.7575
