best_threshold: 0.86
false_positive_percentage: 0.0
false_negative_percentage: 1.0
number_of_tests_conducted: 80

minimized_false_positive_threshold: 0.05
false_positive_percentage: 0.0
false_negative_percentage: 0.9
number_of_tests_conducted: 80

equalized_false_positive_negative_threshold: 0.0
false_positive_percentage: 0.725
false_negative_percentage: 0.0
number_of_tests_conducted: 80

authentication_threshold	false_positive_percentage	false_negative_percentage	authentication_accuracy
5.02E-6	0.0	0.075	0.9625
5.03E-6	0.0	0.075	0.9625
5.04E-6	0.0	0.075	0.9625
5.05E-6	0.0	0.075	0.9625
5.06E-6	0.0	0.075	0.9625
5.07E-6	0.0	0.075	0.9625
5.0800000000000005E-6	0.0	0.075	0.9625
5.09E-6	0.0	0.075	0.9625
5.1E-6	0.0	0.075	0.9625
5.11E-6	0.0	0.075	0.9625
5.12E-6	0.0	0.075	0.9625
5.13E-6	0.0	0.075	0.9625
5.14E-6	0.0	0.075	0.9625
5.15E-6	0.0	0.075	0.9625
5.16E-6	0.0	0.075	0.9625
5.1700000000000005E-6	0.0	0.075	0.9625
5.18E-6	0.0	0.075	0.9625
5.19E-6	0.0	0.075	0.9625
5.2E-6	0.0	0.075	0.9625
5.21E-6	0.0	0.075	0.9625
5.22E-6	0.0	0.075	0.9625
5.23E-6	0.0	0.075	0.9625
5.24E-6	0.0	0.075	0.9625
5.25E-6	0.0	0.075	0.9625
5.2600000000000005E-6	0.0	0.075	0.9625
5.27E-6	0.0	0.075	0.9625
5.28E-6	0.0	0.075	0.9625
5.29E-6	0.0	0.075	0.9625
5.3E-6	0.0	0.075	0.9625
5.31E-6	0.0	0.075	0.9625
5.32E-6	0.0	0.075	0.9625
5.33E-6	0.0	0.075	0.9625
5.34E-6	0.0	0.075	0.9625
5.3500000000000004E-6	0.0	0.075	0.9625
5.36E-6	0.0	0.075	0.9625
5.37E-6	0.0	0.075	0.9625
5.38E-6	0.0	0.075	0.9625
5.39E-6	0.0	0.075	0.9625
5.4E-6	0.0	0.075	0.9625
5.41E-6	0.0	0.075	0.9625
5.42E-6	0.0	0.075	0.9625
5.4300000000000005E-6	0.0	0.075	0.9625
5.4400000000000004E-6	0.0	0.075	0.9625
5.45E-6	0.0	0.075	0.9625
5.46E-6	0.0	0.075	0.9625
5.47E-6	0.0	0.075	0.9625
5.48E-6	0.0	0.075	0.9625
5.49E-6	0.0	0.075	0.9625
5.5E-6	0.0	0.075	0.9625
5.51E-6	0.0	0.075	0.9625
5.5200000000000005E-6	0.0	0.075	0.9625
5.53E-6	0.0	0.075	0.9625
5.54E-6	0.0	0.075	0.9625
5.55E-6	0.0	0.075	0.9625
5.56E-6	0.0	0.075	0.9625
5.57E-6	0.0	0.075	0.9625
5.58E-6	0.0	0.075	0.9625
5.59E-6	0.0	0.075	0.9625
5.6E-6	0.0	0.075	0.9625
5.6100000000000005E-6	0.0	0.075	0.9625
5.62E-6	0.0	0.075	0.9625
5.63E-6	0.0	0.075	0.9625
5.64E-6	0.0	0.075	0.9625
5.65E-6	0.0	0.075	0.9625
5.66E-6	0.0	0.075	0.9625
5.67E-6	0.0	0.075	0.9625
5.68E-6	0.0	0.075	0.9625
5.69E-6	0.0	0.075	0.9625
5.7000000000000005E-6	0.0	0.075	0.9625
5.71E-6	0.0	0.075	0.9625
5.72E-6	0.0	0.075	0.9625
5.73E-6	0.0	0.075	0.9625
5.74E-6	0.0	0.075	0.9625
5.75E-6	0.0	0.075	0.9625
5.76E-6	0.0	0.075	0.9625
5.77E-6	0.0	0.075	0.9625
5.78E-6	0.0	0.075	0.9625
5.7900000000000005E-6	0.0	0.075	0.9625
5.8E-6	0.0	0.075	0.9625
5.81E-6	0.0	0.075	0.9625
5.82E-6	0.0	0.075	0.9625
5.83E-6	0.0	0.075	0.9625
5.84E-6	0.0	0.075	0.9625
5.85E-6	0.0	0.075	0.9625
5.86E-6	0.0	0.075	0.9625
5.87E-6	0.0	0.075	0.9625
5.8800000000000005E-6	0.0	0.075	0.9625
5.89E-6	0.0	0.075	0.9625
5.9E-6	0.0	0.075	0.9625
5.91E-6	0.0	0.075	0.9625
5.92E-6	0.0	0.075	0.9625
5.93E-6	0.0	0.075	0.9625
