W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
4,7,1500,0,1,0,1,0,1,0,1,1.000,0.6686,0,1,0,1,1.000,0.9131,0.9383,-0.196,0.4258,0.2396,0,1,0,1,1.000,0.6855,0.8629,0.5249,0,1,0,1,0,1,0.8873,0.6173,0.9982,0.8183,0,1,0,1,0,1,0,1,0,1,0.7892,0.6663
4,7,2000,0,1,0,1,0,1,0,1,1.000,0.6889,0,1,0,1,0.9996,0.6893,1.000,0.0573,0.4723,0.2191,0,1,0,1,1.000,0.6470,0.9509,0.5991,0,1,0,1,0,1,0.8744,0.6736,0.9939,0.8005,0,1,0,1,0,1,0,1,0,1,0.8028,0.6665
4,8,1000,0,1,0,1,0,1,0,1,0.9994,0.8661,0,1,0,1,0.9999,0.7827,1.000,0.7059,0,1,0,1,0,1,0.9996,0.6664,0.8263,0.5862,0,1,0,1,0,1,0.8867,0.6442,0.9999,0.8172,0,1,0,1,0,1,0,1,0,1,0.8526,0.7741
4,8,1500,0,1,0,1,0,1,0,1,0.9442,0.8159,0,1,0,1,0.9713,0.7579,0.9998,0.5794,0.2869,0.1433,0,1,0,1,0.9999,0.2117,0.9570,0.4108,0,1,0,1,0,1,0.9402,0.7538,1.000,0.8111,0,1,0,1,0,1,0,1,0,1,0.8832,0.7893
4,8,2000,0,1,0,1,0,1,0,1,0.9513,0.8012,0,1,0,1,0.8605,0.6766,1.000,0.5543,0.3308,0.1513,0,1,0,1,1.000,0.245,1.000,0.5038,0,1,0,1,0,1,0.9740,0.7311,1.000,0.7897,0,1,0,1,0,1,0,1,0,1,0.8897,0.7849
4,9,1000,0,1,0,1,0,1,0,1,0.9997,0.7743,0,1,0,1,0.7960,0.6219,0.9402,0.62,0,1,0,1,0,1,1.000,0.7562,0.9362,0.8224,0,1,0,1,0,1,0.7317,0.3425,0.8223,0.666,0,1,0,1,0,1,0,1,0,1,0.9581,0.7141
4,9,1500,0,1,0,1,0,1,0,1,1.000,0.8099,0,1,0,1,0.8739,0.5634,0.8442,0.4581,0.7995,0.6553,0,1,0,1,1.000,0.5773,0.9830,0.7284,0,1,0,1,0,1,0.7110,0.1471,0.9999,0.6666,0,1,0,1,0,1,0,1,0,1,0.9990,0.714
4,9,2000,0,1,0,1,0,1,0,1,1.000,0.8461,0,1,0,1,0.9610,0.6987,0.9980,0.5898,0.8057,0.6513,0,1,0,1,1.000,0.6101,0.9799,0.7210,0,1,0,1,0,1,0.7201,0.115,0.9999,0.6656,0,1,0,1,0,1,0,1,0,1,0.9921,0.7138
4,10,1000,0,1,0,1,0,1,0,1,0.9999,0.8179,0,1,0,1,1.000,0.7696,0.8644,0.6984,0,1,0,1,0,1,0.9998,0.7498,0.7639,0.6619,0,1,0,1,0,1,0.8813,0.5737,0.9892,0.7738,0,1,0,1,0,1,0,1,0,1,0.9999,0.7140
4,10,1500,0,1,0,1,0,1,0,1,1.000,0.8294,0,1,0,1,1.000,0.8427,0.8898,0.7113,0.4743,0.3704,0,1,0,1,1.000,0.7106,0.8954,0.6411,0,1,0,1,0,1,0.8313,0.4551,1.000,0.7885,0,1,0,1,0,1,0,1,0,1,0.9876,0.7141
4,10,2000,0,1,0,1,0,1,0,1,0.9999,0.8118,0,1,0,1,0.9996,0.8675,0.9501,0.8064,0.5106,0.3958,0,1,0,1,0.9998,0.7113,0.8913,0.6113,0,1,0,1,0,1,0.8336,0.4789,1.000,0.7792,0,1,0,1,0,1,0,1,0,1,0.9855,0.7053
4,20,1000,0,1,0,1,0,1,0,1,0.9972,0.9252,0,1,0,1,0.5880,0.4850,0.4555,0.4171,0,1,0,1,0,1,1.000,0.7568,0.8910,0.8469,0,1,0,1,0,1,0.9209,0.7884,0.9997,0.7730,0,1,0,1,0,1,0,1,0,1,0.9999,0.8326
4,20,1500,0,1,0,1,0,1,0,1,1.000,0.9528,0,1,0,1,0.6731,0.5654,0.4949,0.4303,0.9998,0.9831,0,1,0,1,0.9999,0.5036,0.8619,0.7773,0,1,0,1,0,1,0.9365,0.7767,0.9999,0.4994,0,1,0,1,0,1,0,1,0,1,1.000,0.8318
4,20,2000,0,1,0,1,0,1,0,1,1.000,0.9298,0,1,0,1,0.7023,0.6021,0.5327,0.4594,0.9673,0.9307,0,1,0,1,1.000,0.4959,0.8676,0.7803,0,1,0,1,0,1,0.9271,0.8127,0.9991,0.5079,0,1,0,1,0,1,0,1,0,1,0.9991,0.8380
4,30,1000,0,1,0,1,0,1,0,1,0.7848,0.7384,0,1,0,1,0.4365,0.4073,0.3696,0.3559,0,1,0,1,0,1,1.000,0.6002,0.8912,0.8564,0,1,0,1,0,1,0.8757,0.8077,1.000,0.6069,0,1,0,1,0,1,0,1,0,1,0.9999,0.8775
